,上場日,上場承認日,会社名,コード,公募株数(千株),売買単位,仮条件下限,仮条件上限,市場,公募価格,売り出し(千株),オーバーアロットメント(千株)
0,2017/03/31  ,2017/02/24,（株）ネットマーケティング,6175,280,100.0,0,0,JQスタンダード,-,680,144
1,2017/03/30  ,2017/02/22,（株）スシローグローバルホールディングス,3563,-,100.0,0,0,未定,-,"19,123.1","2,011.6"
2,2017/03/30  ,2017/02/23,（株）ユーザーローカル,3984,205,100.0,0,0,マザーズ,-,200,60.7
3,2017/03/29  ,2017/02/23,（株）オークネット,3964,2200,100.0,0,0,未定,-,"2,620",723
4,2017/03/28  ,2017/02/22,（株）Ｎｏ．１,3562,220,100.0,0,0,JQスタンダード,-,220,66
5,2017/03/28  ,2017/02/22,（株）ズーム,6694,210,100.0,0,0,JQスタンダード,-,421,94.6
6,2017/03/27  ,2017/02/21,（株）ティーケーピー,3479,310,100.0,0,0,マザーズ,-,199.2,76.3
7,2017/03/24  ,2017/02/17,（株）オロ,3983,1000,100.0,0,0,マザーズ,-,,150
8,2017/03/24  ,2017/02/20,ソレイジア・ファーマ（株）,4597,19437.5,100.0,0,0,マザーズ,-,,"2,915.6"
9,2017/03/23  ,2017/02/16,（株）グリーンズ,6547,2000,100.0,0,0,第二部,-,"2,400",660
10,2017/03/22  ,2017/02/08,（株）マクロミル,3978,487.8,100.0,0,0,未定,-,"25,017.2","1,818.5"
11,2017/03/22  ,2017/02/16,（株）エスキュービズム,3982,100,100.0,0,0,マザーズ,-,250,52.5
12,2017/03/22  ,2017/02/16,フルテック（株）,6546,600,100.0,0,0,第二部,-,519.2,167.8
13,2017/03/21  ,2017/02/15,（株）力の源ホールディングス,3561,800,100.0,0,0,マザーズ,-,200,150
14,2017/03/21  ,2017/02/15,（株）インターネットインフィニティー,6545,130,100.0,0,0,マザーズ,-,65,29
15,2017/03/17  ,2017/02/13,（株）ビーグリー,3981,384.7,100.0,0,0,マザーズ,-,"4,309.9",523.2
16,2017/03/17  ,2017/02/14,ジャパンエレベーターサービスホールディングス（株）,6544,1640,100.0,0,0,マザーズ,-,"1,260",435
17,2017/03/16  ,2017/02/13,（株）ほぼ日,3560,250,100.0,"2,250","2,350",JQスタンダード,-,150,60
18,2017/03/16  ,2017/02/13,（株）うるる,3979,250,100.0,"2,840","3,000",マザーズ,-,"1,025.8",191.3
19,2017/03/15  ,2017/02/10,（株）ファイズ,9325,300,100.0,"1,200","1,250",マザーズ,-,250,82.5
20,2017/03/09  ,2017/02/03,（株）ピーバンドットコム,3559,150,100.0,"1,530","1,650",マザーズ,-,650,60
21,2017/03/07  ,2017/02/02,（株）ロコンド,3558,924,100.0,"1,660","1,850",マザーズ,1850,651.7,236.3
22,2017/02/23  ,2017/01/20,ユナイテッド＆コレクティブ（株）  代表者インタビュー,3557,228.5,100.0,"1,400","1,620",マザーズ,1620,30,38.7
23,2017/02/23  ,2017/01/20,（株）レノバ  代表者インタビュー,9519,650,100.0,660,750,マザーズ,750,560,181.5
24,2017/02/16  ,2017/01/13,（株）日宣  代表者インタビュー,6543,200,100.0,"1,540","1,600",JQスタンダード,1600,50,37.5
25,2017/02/10  ,2017/01/06,（株）安江工務店  代表者インタビュー,1439,280,100.0,"1,130","1,250",JQスタンダード,1250,210.2,73.5
26,2017/01/27  ,2016/12/21,（株）シャノン  代表者インタビュー,3976,150,100.0,"1,300","1,500",マザーズ,1500,,22.5
27,2017/01/04  ,2016/12/01,AOI TYO Holdings（株） *,3975,-,100.0,0,0,第一部,-,0,0
28,2017/01/04  ,2016/12/01,（株）ＦＣホールディングス *,6542,-,100.0,0,0,JQスタンダード,-,0,0
