,上場日,会社名,コード,公募株数(千株),売買単位,仮条件下限,仮条件上限,市場,公募価格,売り出し(千株),オーバーアロットメント(千株)
52,2015/07/10,（株）平山  代表者インタビュー,7781,260,100.0,"2,030","2,130",JQスタンダード,2130,160,63
53,2015/07/08,（株）クレステック  代表者インタビュー,7812,191,100.0,910,960,JQスタンダード,960,213.9,59
54,2015/07/07,（株）富士山マガジンサービス  代表者インタビュー,3138,50,100.0,"2,500","2,650",マザーズ,2650,129.8,26.9
55,2015/06/29,（株）ナガオカ  代表者インタビュー,6239,300,100.0,"1,440","1,600",JQスタンダード,1600,100,50
56,2015/06/25,（株）ファンデリー  代表者インタビュー,3137,300,100.0,725,765,マザーズ,765,706,150.9
57,2015/06/25,冨士ダイス（株）  代表者インタビュー,6167,-,100.0,500,530,第二部,530,"4,415",662
58,2015/06/25,（株）メニコン  代表者インタビュー,7780,1500,100.0,"1,630","1,700",第一部,1700,800,345
59,2015/06/24,（株）中村超硬,6166,600,100.0,"1,640","1,700",マザーズ,1700,"1,353",292.9
60,2015/06/18,デジタル・インフォメーション・テクノロジー（株）  代表者インタビュー,3916,250,100.0,"1,200","1,300",JQスタンダード,1300,230,72
61,2015/06/17,（株）マーケットエンタープライズ  代表者インタビュー,3135,200,100.0,"1,430","1,500",マザーズ,1500,230,64.5
62,2015/06/16,（株）ヘリオス  代表者インタビュー,4593,6060,100.0,"1,100","1,200",マザーズ,1200,,909
63,2015/06/16,コマニー（株）  代表者インタビュー,7945,-,100.0,0,0,第二部,-,0,0
64,2015/06/16,（株）スマートバリュー  代表者インタビュー,9417,280,100.0,"1,500","1,580",JQスタンダード,1580,60,51
65,2015/04/30,（株）テラスカイ  代表者インタビュー,3915,200,100.0,"1,580","1,700",マザーズ,1700,,30
66,2015/04/30,（株）デザインワン・ジャパン  代表者インタビュー,6048,400,100.0,"2,450","2,750",マザーズ,2750,200,90
67,2015/04/28,ジグソー（株）,3914,200,100.0,"2,090","2,390",マザーズ,2390,50 ,37.5
68,2015/04/28,（株）リンクバル  代表者インタビュー,6046,250,100.0,"2,100","2,400",マザーズ,2400,550,80
69,2015/04/28,（株）Gunosy  代表者インタビュー,6047,3500,100.0,"1,460","1,520",マザーズ,1520,"2,410",886.5
70,2015/04/24,（株）三機サービス  代表者インタビュー,6044,250,100.0,"1,440","1,540",JQスタンダード,1540,250 ,75
