,上場日,会社名,コード,公募株数(千株),売買単位,仮条件下限,仮条件上限,市場,公募価格,売り出し(千株),オーバーアロットメント(千株)
27,2014/12/12,（株）クラウドワークス,3900,1650,100.0,720,760,マザーズ,760,200 ,277.5
28,2014/12/11,（株）ビーロット,3452,100,100.0,"1,810","2,010",マザーズ,2010,,15
29,2014/12/11,ＧＭＯ　ＴＥＣＨ（株）,6026,100,100.0,"5,000","5,800",マザーズ,5800,175.2 ,41.2
30,2014/12/11,弁護士ドットコム（株）,6027,370,100.0,"1,050","1,230",マザーズ,1230,750 ,168
31,2014/12/11,（株）スノーピーク,7816,280,100.0,"2,150","2,300",マザーズ,2300,44 ,48.6
32,2014/11/27,（株）ＣＲＩ・ミドルウェア,3698,110,100.0,"2,100","2,400",マザーズ,2400,166,40
33,2014/11/21,（株）北の達人コーポレーション,2930,340,100.0,0,0,第二部,838,113,67
34,2014/11/13,（株）ＳＨＩＦＴ,3697,100,100.0,"1,210","1,300",マザーズ,1300,420,78
35,2014/11/07,（株）エラン,6099,500,100.0,"1,620","1,750",マザーズ,1750,517,152.5
36,2014/10/30,（株）アルファポリス,9467,675,100.0,"2,100","2,200",マザーズ,2200,450,168.7
37,2014/10/22,（株）オプティム,3694,229.9,100.0,"3,700","4,000",マザーズ,4000,,34.4
38,2014/10/22,（株）セレス,3696,590,100.0,"1,660","1,860",マザーズ,1860,,50
39,2014/10/21,ＧＭＯリサーチ（株）,3695,190,100.0,"2,000","2,100",マザーズ,2100,262.4,67.8
40,2014/10/16,（株）リクルートホールディングス,6098,29506.2,100.0,"2,800","3,100",第一部,3100,"34,070","5,397.9"
41,2014/10/09,（株）すかいらーく,3197,4138,100.0,"1,200","1,450",第一部,1200,"51,528.8","7,092.8"
42,2014/10/08,ヤマシンフィルタ（株）,6240,300,100.0,"2,700","2,800",第二部,2800,210,76.5
43,2014/10/02,（株）富山銀行,8365,-,1000.0,0,0,第二部,-,0,0
44,2014/10/01,フィード・ワンホールディングス（株）,2060,-,100.0,0,0,第一部,-,0,0
45,2014/10/01,（株）東京ＴＹフィナンシャルグループ,7173,-,100.0,0,0,第一部,-,0,0
46,2014/10/01,（株）ＫＡＤＯＫＡＷＡ・ＤＷＡＮＧＯ,9468,-,100.0,0,0,第一部,-,0,0
47,2014/09/30,（株）ホットランド,3196,816.5,100.0,"2,010","2,110",マザーズ,2110,942.2,263.8
48,2014/09/30,（株）ＦＦＲＩ,3692,140,100.0,"1,340","1,450",マザーズ,1450,193,49.9
49,2014/09/25,（株）リボミック,4591,1200,100.0,"2,000","2,300",マザーズ,2300,964,324.6
50,2014/09/24,（株）ジェネレーションパス,3195,216,100.0,"1,090","1,200",マザーズ,1200,190,60.9
51,2014/09/19,（株）ＡＭＢＩＴＩＯＮ,3300,296,100.0,860,960,マザーズ,960,300,20
52,2014/09/18,（株）リアルワールド,3691,270.4,100.0,"2,330","2,530",マザーズ,2530,220.7,73.6
53,2014/09/17,（株）ロックオン,3690,200,100.0,"1,200","1,300",マザーズ,1300,143,51.4
54,2014/09/11,（株）ジャパンインベストメントアドバイザー,7172,120,100.0,"2,350","2,550",マザーズ,2550,262.5,57.3
55,2014/08/18,（株）キリン堂ホールディングス,3194,-,100.0,0,0,第一部,-,0,0
56,2014/07/23,日本ビューホテル（株）,6097,125,100.0,"1,900","2,200",第二部,2200,"1,000",135
57,2014/07/15,（株）イグニス,3689,460,100.0,"1,700","1,900",マザーズ,1900,733,178.9
58,2014/07/10,（株）鳥貴族,3193,300,100.0,"2,590","2,800",JQスタンダード,2800,160,69
59,2014/07/02,（株）ＶＯＹＡＧＥ　ＧＲＯＵＰ,3688,500,100.0,"2,200","2,400",マザーズ,2400,"3,300",570
60,2014/06/27,メドピア（株）,6095,160,100.0,"3,700","4,000",マザーズ,4000,75,35.2
61,2014/06/27,（株）レアジョブ,6096,100,100.0,"1,080","1,170",マザーズ,1170,160,39
62,2014/06/25,ＯＡＴアグリオ（株）,4979,100,100.0,"4,000","4,200",第二部,4200,700,120
63,2014/06/24,（株）フリークアウト,6094,530,100.0,"1,910","2,000",マザーズ,2000,165,104.2
64,2014/06/18,（株）ムゲンエステート,3299,2300,100.0,"1,100","1,200",マザーズ,1200,300,390
65,2014/06/16,（株）ニュートン・フィナンシャル・コンサルティング,7169,-,100.0,"3,000","3,320",JQスタンダード,3320,637,95.5
66,2014/05/22,（株）東武住販,3297,270,100.0,"1,050","1,250",JQスタンダード,1250,87,53
67,2014/04/23,（株）白鳩,3192,570,100.0,480,520,JQスタンダード,520,570,171
68,2014/04/23,（株）フィックスターズ,3687,100,100.0,"3,350","3,450",マザーズ,3450,24,18.6
69,2014/04/23,（株）西武ホールディングス,9024,-,100.0,"1,600","1,800",第一部,1600,27826,0
70,2014/04/18,（株）ジョイフル本田,3191,-,100.0,"2,450","2,700",第一部,2700,"3,814.6",290
71,2014/04/08,トレックス・セミコンダクター（株）,6616,350,100.0,"4,500","5,000",JQスタンダード,5000,352.3,105.3
72,2014/04/08,（株）丸和運輸機関,9090,600,100.0,"3,140","3,400",第二部,3400,200,120
73,2014/04/01,マルハニチロ（株）,1333,-,100.0,0,0,第一部,-,0,0
74,2014/03/28,（株）エスクロー・エージェント・ジャパン,6093,80,100.0,"2,600","2,700",JQスタンダード,2700,80,24
75,2014/03/26,（株）ディー・エル・イー,3686,800,100.0,"1,050","1,200",マザーズ,1200,501,195.1
76,2014/03/26,ＣＹＢＥＲＤＹＮＥ（株）,7779,1222,100.0,"2,700","3,700",マザーズ,3700,895.7,304.2
77,2014/03/25,（株）みんなのウェディング,3685,850,100.0,"2,580","2,800",マザーズ,2800,629.7,221.9
78,2014/03/20,（株）ホットマン,3190,1820,100.0,470,520,JQスタンダード,520,,273
79,2014/03/19,（株）ジャパンディスプレイ,6740,140000,100.0,900,"1,100",第一部,900,"213,900","18,000"
80,2014/03/18,日立マクセル（株）,6810,-,100.0,"1,990","2,070",第一部,2070,"35,227.7","1,772.3"
81,2014/03/13,ダイキョーニシカワ（株）,4246,3300,100.0,"1,450","1,600",第一部,1600,355.5,548.3
82,2014/03/12,（株）エンバイオ・ホールディングス,6092,1050,100.0,550,580,マザーズ,580,78.5,169.2
83,2014/03/12,日本ＢＳ放送（株）,9414,1380,100.0,"1,680","1,820",第二部,1820,950,349.5
84,2014/03/06,（株）サイバーリンクス,3683,250,100.0,"2,200","2,400",JQスタンダード,2400,,37.5
85,2014/02/17,三谷産業（株）,8285,-,1000.0,0,0,第二部,-,0,0
86,2014/02/13,Acucela Inc.,4589,9200,100.0,"1,650","1,800",マザーズ（外国株）,1800,,"1,380"
87,2014/02/03,（株）ウエスコホールディングス,6091,-,100.0,0,0,第二部,-,0,0
88,2014/02/03,アルビス（株）,7475,-,1000.0,0,0,第二部,-,0,0
89,2014/01/06,Ｋ＆Ｏエナジーグループ（株）,1663,-,100.0,0,0,第一部,-,0,0
