,上場日,会社名,コード,公募株数(千株),売買単位,仮条件下限,仮条件上限,市場,公募価格,売り出し(千株),オーバーアロットメント(千株)
0,2014/12/26,日本商業開発（株）,3252,2000,100.0,0,0,第一部,2352,"1,000 ",450
1,2014/12/26,ＭＲＴ（株）,6034,480,100.0,750,800,マザーズ,800,250 ,109.5
2,2014/12/25,（株）カヤック,3904,989,100.0,530,560,マザーズ,560,390 ,206.8
3,2014/12/25,（株）エクストリーム,6033,250,100.0,"1,320","1,400",マザーズ,1400,,37.5
4,2014/12/25,東京ボード工業（株）,7815,100,100.0,"1,980","2,180",第二部,2180,360 ,60
5,2014/12/24,綿半ホールディングス（株）,3199,1400,100.0,540,640,第二部,640,"1,010 ",361.5
6,2014/12/24,（株）ヨシックス,3221,225,100.0,"2,490","2,640",JQスタンダード,2640,150 ,56.2
7,2014/12/24,データセクション（株）,3905,850,100.0,460,520,マザーズ,520,"1,360 ",331.5
8,2014/12/22,（株）中広,2139,-,100.0,0,0,第二部,-,0,0
9,2014/12/22,（株）グランディーズ,3261,200,100.0,0,0,マザーズ,2016,,30
10,2014/12/22,（株）インターワークス,6032,270,100.0,"1,720","1,750",マザーズ,1750,650 ,138
11,2014/12/22,イーレックス（株）,9517,4000,100.0,"1,120","1,170",マザーズ,1170,,600
12,2014/12/19,サイジニア（株）,6031,258.5,100.0,"2,280","2,560",マザーズ,2560,136 ,59.1
13,2014/12/19,メタウォーター（株）,9551,10000,100.0,"2,400","2,550",第一部,2400,,"1,500"
14,2014/12/18,（株）大冷,2883,700,100.0,"1,700","1,800",第二部,1800,800 ,225
15,2014/12/18,（株）gumi,3903,1500,100.0,"3,000","3,300",第一部,3300,"10,367.2 ","1,780"
16,2014/12/18,（株）アドベンチャー,6030,330,100.0,"2,300","2,500",マザーズ,2500,,49.5
17,2014/12/17,（株）フルッタフルッタ,2586,100,100.0,"4,130","4,290",マザーズ,4290,120 ,33
18,2014/12/17,竹本容器（株）,4248,445,100.0,880,900,第二部,900,305 ,112.5
19,2014/12/17,今村証券（株）,7175,500,100.0,"1,150","1,350",JQスタンダード,1350,,75
20,2014/12/16,ＳＦＰダイニング（株）,3198,7100,100.0,"1,740","2,040",第二部,1940,,355
21,2014/12/16,マークラインズ（株）,3901,214.8,100.0,"1,780","1,980",JQスタンダード,1980,97.4 ,15
22,2014/12/16,メディカル・データ・ビジョン（株）,3902,170,100.0,"4,980","5,180",マザーズ,5180,70.6 ,36
23,2014/12/16,アトラ（株）,6029,700,100.0,690,740,マザーズ,740,100 ,120
24,2014/12/16,菊水化学工業（株）,7953,1827,100.0,0,0,第二部,609,,273
25,2014/12/16,（株）Ｕ－ＮＥＸＴ,9418,960,100.0,"2,910","3,000",マザーズ,3000,400 ,204
26,2014/12/15,テクノプロ・ホールディングス（株）,6028,-,100.0,"1,800","1,950",第一部,1950,"23,700 ","3,555"
