,上場日,上場承認日,会社名,コード,公募株数(千株),売買単位,仮条件下限,仮条件上限,市場,公募価格,売り出し(千株),オーバーアロットメント(千株)
44,2016/07/28  ,2016/06/23,リファインバース（株）  代表者インタビュー,6531,90,100.0,"1,500","1,700",マザーズ,1700,74.8,24.7
45,2016/07/21  ,2016/06/16,（株）デュアルタップ  代表者インタビュー,3469,200,100.0,"1,010","1,110",JQスタンダード,1110,240,66
46,2016/07/21  ,2016/06/17,（株）インソース  代表者インタビュー,6200,700,100.0,460,520,マザーズ,520,"1,250",292.5
47,2016/07/15  ,2016/06/10,LINE（株）  代表者インタビュー,3938,35000,100.0,"2,900","3,300",第一部,3300,,"5,250"
48,2016/07/01  ,2016/05/26,（株）セラク  代表者インタビュー,6199,406,100.0,"1,360","1,500",マザーズ,1500,408,122.1
49,2016/06/29  ,2016/05/26,（株）コメダホールディングス  代表者インタビュー,3543,-,100.0,"1,780","1,960",第一部,1960,"26,700","4,000"
50,2016/06/29  ,2016/05/20,（株）ソラスト  代表者インタビュー,6197,-,100.0,"1,270","1,400",第一部,1300,"9,835","1,475"
51,2016/06/28  ,2016/05/24,（株）ベガコーポレーション  代表者インタビュー,3542,410,100.0,"1,440","1,600",マザーズ,1600,430,126
52,2016/06/27  ,2016/05/23,（株）キャリア  代表者インタビュー,6198,150,100.0,"1,850","1,950",マザーズ,1950,345,74.2
53,2016/06/23  ,2016/05/19,バーチャレクス・コンサルティング（株）  代表者インタビュー,6193,120,100.0,"1,030","1,090",マザーズ,1090,964,162.6
54,2016/06/22  ,2016/05/18,ジェイリース（株）  代表者インタビュー,7187,150,100.0,"3,000","3,100",マザーズ,3100,135,42
55,2016/06/21  ,2016/05/17,（株）ＡＷＳホールディングス  代表者インタビュー,3937,110,100.0,"2,290","2,490",マザーズ,2490,,16.5
56,2016/06/21  ,2016/05/19,（株）ストライク  代表者インタビュー,6196,166,100.0,"2,940","3,440",マザーズ,3440,61.5,34.1
